timestamp,label,conf,p_neutro,p_miedo,p_ira,p_alegria
1767905993.0820656,miedo,0.9920,0.007983,0.991996,0.000021,0.000000
1767905994.2920687,miedo,0.9905,0.009526,0.990459,0.000015,0.000000
1767905995.4981923,miedo,0.9899,0.010119,0.989873,0.000009,0.000000
1767905996.6618097,miedo,0.9884,0.011630,0.988353,0.000017,0.000000
1767905997.9059567,miedo,0.9813,0.018637,0.981330,0.000033,0.000000
1767905999.1112084,miedo,0.9816,0.018364,0.981599,0.000036,0.000000
1767906000.3012352,miedo,0.9811,0.018895,0.981065,0.000039,0.000000
1767906001.4792645,miedo,0.9724,0.027581,0.972366,0.000053,0.000000
1767906002.759017,miedo,0.8186,0.180988,0.818620,0.000383,0.000009
1767906003.97703,miedo,0.8252,0.174449,0.825172,0.000370,0.000009
1767906005.1919725,miedo,0.8196,0.180065,0.819557,0.000370,0.000009
1767906006.410443,miedo,0.7736,0.225989,0.773635,0.000367,0.000009
1767906007.583324,miedo,0.7741,0.225552,0.774085,0.000354,0.000009
1767906008.7920072,miedo,0.9251,0.074861,0.925120,0.000018,0.000000
1767906009.9642146,miedo,0.9157,0.084315,0.915652,0.000033,0.000000
1767906011.1722574,miedo,0.9154,0.084533,0.915432,0.000035,0.000000
1767906012.3789194,miedo,0.9604,0.039537,0.960425,0.000038,0.000000
1767906013.559254,miedo,0.9679,0.032049,0.967912,0.000039,0.000000
1767906014.7274125,miedo,0.9711,0.028827,0.971139,0.000033,0.000000
1767906015.9117208,miedo,0.9812,0.018807,0.981176,0.000017,0.000000
1767906017.0299304,miedo,0.9879,0.012126,0.987852,0.000022,0.000000
1767906018.2567306,miedo,0.9894,0.010595,0.989371,0.000033,0.000000
1767906019.4114015,miedo,0.9900,0.009914,0.990048,0.000038,0.000000
1767906020.5838954,miedo,0.9902,0.009778,0.990165,0.000057,0.000000
1767906021.748481,miedo,0.9905,0.009483,0.990456,0.000060,0.000000
1767906022.9116714,miedo,0.9941,0.005865,0.994081,0.000054,0.000000
1767906024.0925407,miedo,0.9960,0.003998,0.995958,0.000045,0.000000
1767906025.2884462,miedo,0.9964,0.003566,0.996387,0.000047,0.000000
1767906026.4262145,miedo,0.9972,0.002755,0.997212,0.000032,0.000000
1767906027.6232517,miedo,0.9972,0.002790,0.997175,0.000035,0.000000
1767906028.8031056,miedo,0.9973,0.002634,0.997329,0.000037,0.000000
1767906030.0286922,miedo,0.9973,0.002680,0.997283,0.000038,0.000000
1767906031.1754024,miedo,0.9973,0.002703,0.997259,0.000037,0.000000
1767906032.383789,miedo,0.9971,0.002889,0.997071,0.000039,0.000000
1767906033.543586,miedo,0.9964,0.003520,0.996435,0.000045,0.000000
1767906034.7328444,miedo,0.9963,0.003654,0.996302,0.000044,0.000000
1767906035.9237843,miedo,0.9961,0.003815,0.996140,0.000046,0.000000
1767906037.1625192,miedo,0.9964,0.003577,0.996381,0.000042,0.000000
1767906038.3293023,miedo,0.9957,0.004239,0.995712,0.000048,0.000000
1767906039.4962833,miedo,0.9960,0.003983,0.995973,0.000044,0.000000
1767906040.679906,miedo,0.9956,0.004371,0.995583,0.000046,0.000000
1767906041.8448584,miedo,0.9953,0.004642,0.995313,0.000046,0.000000
1767906043.0394454,miedo,0.9949,0.005018,0.994935,0.000047,0.000000
1767906044.2305827,miedo,0.9956,0.004362,0.995597,0.000041,0.000000
1767906045.4078987,miedo,0.9959,0.004010,0.995948,0.000041,0.000000
1767906046.5907955,miedo,0.9964,0.003569,0.996393,0.000039,0.000000
1767906047.7512686,miedo,0.9966,0.003341,0.996621,0.000038,0.000000
1767906048.9626598,miedo,0.9969,0.003025,0.996944,0.000031,0.000000
1767906050.155257,miedo,0.9968,0.003209,0.996767,0.000024,0.000000
1767906051.3257484,miedo,0.9959,0.004056,0.995928,0.000016,0.000000
1767906052.51507,miedo,0.9946,0.005411,0.994578,0.000011,0.000000
1767906053.6935694,miedo,0.9941,0.005910,0.994086,0.000003,0.000000
1767906054.856761,miedo,0.9936,0.006393,0.993605,0.000003,0.000000
1767906056.0078142,miedo,0.9931,0.006921,0.993076,0.000003,0.000000
1767906057.1688812,miedo,0.9930,0.006965,0.993031,0.000004,0.000000
1767906058.3578234,miedo,0.9809,0.018673,0.980932,0.000395,0.000000
1767906059.5553954,miedo,0.9269,0.068349,0.926947,0.004698,0.000005
1767906060.7493722,miedo,0.9211,0.074206,0.921058,0.004730,0.000006
1767906061.9215488,miedo,0.9211,0.074200,0.921063,0.004731,0.000006
1767906063.0872066,miedo,0.9219,0.073319,0.921944,0.004731,0.000006
1767906064.2901697,miedo,0.9351,0.060600,0.935053,0.004342,0.000006
1767906065.501112,miedo,0.9893,0.010699,0.989258,0.000042,0.000000
1767906066.7068272,miedo,0.9955,0.004487,0.995502,0.000011,0.000000
1767906067.8708405,miedo,0.9942,0.005786,0.994202,0.000012,0.000000
1767906069.0268595,miedo,0.9914,0.008574,0.991407,0.000019,0.000000
1767906070.1603305,miedo,0.9900,0.009992,0.989963,0.000045,0.000000
1767906071.3152242,miedo,0.9877,0.012256,0.987674,0.000070,0.000000
1767906072.5189338,miedo,0.9667,0.032467,0.966688,0.000841,0.000004
1767906073.7091992,miedo,0.9644,0.034724,0.964378,0.000894,0.000004
1767906074.905442,miedo,0.9670,0.032067,0.967043,0.000886,0.000004
1767906076.0897367,miedo,0.9683,0.030876,0.968261,0.000859,0.000004
1767906077.2115457,miedo,0.9705,0.028665,0.970499,0.000833,0.000004
1767906078.3882856,miedo,0.9914,0.008541,0.991399,0.000061,0.000000
1767906079.5359874,miedo,0.9958,0.004212,0.995781,0.000007,0.000000
1767906080.745537,miedo,0.9960,0.004044,0.995950,0.000006,0.000000
1767906081.9437122,miedo,0.9960,0.003994,0.996002,0.000005,0.000000
1767906083.0671186,miedo,0.9963,0.003693,0.996301,0.000006,0.000000
1767906084.2260482,miedo,0.9962,0.003758,0.996235,0.000007,0.000000
1767906085.4173188,miedo,0.9960,0.003950,0.996042,0.000008,0.000000
1767906086.6077235,miedo,0.9952,0.004803,0.995188,0.000008,0.000000
1767906087.8240795,miedo,0.9932,0.006752,0.993240,0.000008,0.000000
1767906089.0614233,miedo,0.9910,0.009000,0.990995,0.000005,0.000000
1767906090.276708,miedo,0.9890,0.010992,0.989004,0.000004,0.000000
1767906091.4186554,miedo,0.9826,0.017397,0.982599,0.000004,0.000000
1767906092.6661527,miedo,0.9784,0.021645,0.978350,0.000005,0.000000
1767906093.8105474,miedo,0.9803,0.019683,0.980313,0.000004,0.000000
1767906095.0235245,miedo,0.9822,0.017818,0.982178,0.000004,0.000000
1767906096.1704476,miedo,0.9802,0.019806,0.980190,0.000003,0.000000
1767906097.3222914,miedo,0.9862,0.013764,0.986234,0.000001,0.000001
1767906098.4921925,miedo,0.9914,0.008604,0.991395,0.000000,0.000001
1767906099.6517286,miedo,0.9915,0.008459,0.991540,0.000000,0.000001
1767906100.8385878,miedo,0.9909,0.009087,0.990911,0.000000,0.000001
1767906102.0576365,miedo,0.9940,0.005995,0.994003,0.000000,0.000001
1767906103.2601159,miedo,0.9920,0.007983,0.992015,0.000000,0.000002
1767906104.4631412,miedo,0.9876,0.012380,0.987617,0.000000,0.000002
1767906105.6873698,miedo,0.9816,0.018413,0.981583,0.000001,0.000003
1767906106.8551009,miedo,0.9795,0.020535,0.979461,0.000001,0.000004
1767906108.0175307,miedo,0.9791,0.020899,0.979096,0.000001,0.000004
1767906109.2493842,miedo,0.9799,0.020096,0.979900,0.000001,0.000004
1767906110.4482193,miedo,0.9817,0.018323,0.981673,0.000001,0.000004
1767906111.639272,miedo,0.9839,0.016045,0.983950,0.000001,0.000004
1767906112.7931988,miedo,0.9833,0.016700,0.983294,0.000001,0.000005
1767906113.9324234,miedo,0.9811,0.018927,0.981066,0.000001,0.000006
1767906115.1643395,miedo,0.9823,0.017666,0.982328,0.000001,0.000005
1767906116.3685877,miedo,0.9846,0.015362,0.984632,0.000001,0.000005
1767906117.5663714,miedo,0.9886,0.011358,0.988638,0.000001,0.000003
1767906118.760758,miedo,0.9892,0.010817,0.989179,0.000001,0.000003
1767906119.9284093,miedo,0.9918,0.008151,0.991847,0.000000,0.000001
1767906121.094896,miedo,0.9891,0.010860,0.989138,0.000001,0.000002
1767906122.2489722,miedo,0.9885,0.011511,0.988486,0.000001,0.000002
1767906123.447939,miedo,0.9870,0.013016,0.986982,0.000001,0.000002
1767906124.6264951,miedo,0.9829,0.017063,0.982935,0.000001,0.000002
1767906125.8252206,miedo,0.9776,0.022392,0.977605,0.000001,0.000002
1767906127.0473208,miedo,0.9758,0.024225,0.975772,0.000001,0.000002
1767906128.27938,miedo,0.9713,0.028720,0.971276,0.000001,0.000003
1767906129.4304075,miedo,0.9673,0.032666,0.967329,0.000001,0.000004
1767906130.6235263,miedo,0.9679,0.032071,0.967924,0.000001,0.000004
1767906131.812746,miedo,0.9465,0.053513,0.946481,0.000001,0.000005
1767906132.951818,miedo,0.9434,0.056552,0.943442,0.000001,0.000005
1767906134.1390197,miedo,0.9279,0.072090,0.927901,0.000006,0.000004
1767906135.3533823,miedo,0.8905,0.109334,0.890450,0.000212,0.000004
1767906136.5198922,miedo,0.8902,0.109586,0.890188,0.000223,0.000003
1767906137.6812506,miedo,0.9180,0.081731,0.918044,0.000223,0.000001
1767906138.9033418,miedo,0.9261,0.073654,0.926120,0.000225,0.000001
1767906140.0735533,miedo,0.9462,0.053565,0.946214,0.000221,0.000001
1767906141.2230232,miedo,0.9873,0.012658,0.987325,0.000017,0.000000
1767906142.4274921,miedo,0.9933,0.006729,0.993264,0.000007,0.000000
1767906143.6056466,miedo,0.9928,0.007228,0.992760,0.000012,0.000000
1767906144.8099015,miedo,0.9918,0.008202,0.991783,0.000015,0.000000
1767906146.004668,miedo,0.9924,0.007538,0.992444,0.000018,0.000000
1767906147.2117436,miedo,0.9941,0.005853,0.994129,0.000017,0.000000
1767906148.4272,miedo,0.9915,0.008471,0.991513,0.000016,0.000000
1767906149.766677,miedo,0.9905,0.009494,0.990494,0.000011,0.000000
1767906150.9538283,miedo,0.9878,0.012172,0.987820,0.000008,0.000000
1767906152.12893,miedo,0.9845,0.015496,0.984499,0.000006,0.000000
1767906153.3600876,miedo,0.9790,0.020958,0.979036,0.000006,0.000000
1767906154.537888,miedo,0.9659,0.034063,0.965930,0.000006,0.000001
1767906155.742791,miedo,0.8829,0.117089,0.882897,0.000007,0.000006
1767906156.9217546,miedo,0.8345,0.165464,0.834512,0.000011,0.000013
1767906158.070424,miedo,0.8361,0.163835,0.836120,0.000031,0.000013
1767906159.2570176,miedo,0.8377,0.162241,0.837691,0.000054,0.000014
1767906160.4705932,miedo,0.8434,0.156452,0.843439,0.000095,0.000015
1767906161.6067994,miedo,0.9182,0.081578,0.918208,0.000201,0.000012
